"","id","rank","workers","company","url","state_l","state_s","city","metro","growth","revenue","industry","yrs_on_list"
"3345",1214,3345,0,"Health Advocate","health-advocate","Pennsylvania","PA","Plymouth Meeting","Philadelphia",101,86092370,"Health",8
"3346",3231,3346,1054,"Vertex Resource Group","vertex-resource-group","Illinois","IL","St. Charles","Chicago",101,27514085,"Human Resources",5
"3347",26559,3347,33,"HR Knowledge","hr-knowledge","Massachusetts","MA","Mansfield","Providence-New Bedford-Fall River RI-MA",100,5043281,"Human Resources",1
"3348",18510,3348,47,"c2mTech","c2mtech","Texas","TX","Carrollton","Dallas",100,8512204,"Telecommunications",2
"3349",17294,3349,17,"Clinical Resources","clinical-resources","Georgia","GA","Atlanta","Atlanta",100,8463600,"Human Resources",5
"3350",25808,3350,75,"Epiphany Management Group","epiphany-management-group","Ohio","OH","Akron","Akron OH",100,5084812,"Education",1
"3351",22148,3351,48,"Climber.com","climbercom","California","CA","San Diego","San Diego",100,3622702,"Human Resources",3
"3352",41,3352,628,"Xtreme Consulting Group","xtreme-consulting-group","Washington","WA","Kirkland","Seattle",100,79138770,"IT Services",6
"3353",19751,3353,48,"Seattle Coffee Gear","seattle-coffee-gear","Washington","WA","Lynnwood","Seattle",100,13090938,"Retail",2
"3354",25633,3354,28,"Novus Architects","novus-architects","South Carolina","SC","Mount Pleasant","Charleston-North Charleston SC",100,5447573,"Construction",1
"3355",10040,3355,48,"WealthTouch","wealthtouch","Colorado","CO","Denver","Denver",100,4972000,"Financial Services",2
"3356",18464,3356,83,"Mentoring Minds","mentoring-minds","Texas","TX","Tyler","Tyler TX",100,22121112,"Education",5
"3357",24392,3357,1059,"EmpireWorks","empireworks","California","CA","Irvine","Los Angeles",100,29854306,"Construction",2
"3358",18288,3358,148,"Infomatics","infomatics","Michigan","MI","Farmington Hills","Detroit",100,5723227,"IT Services",4
"3359",1344,3359,229,"22nd Century Technologies","22nd-century-technologies","New Jersey","NJ","Somerset","New York City",100,26953332,"Government Services",7
"3360",1832,3360,400,"iPipeline","ipipeline","Pennsylvania","PA","Exton","Philadelphia",100,60663000,"Software",7
"3361",1674,3361,48,"Wireless Emporium","wireless-emporium","California","CA","Orange","Los Angeles",100,11755500,"Telecommunications",7
"3362",22730,3362,81,"Allen Printing Company","allen-printing-company","Tennessee","TN","Nashville","Nashville",100,9000445,"Business Products & Services",3
"3363",26116,3363,106,"VLCM","vlcm","Utah","UT","Salt Lake City","Salt Lake City",100,76250829,"IT Services",1
"3364",17491,3364,241,"Consero Global","consero-global","Texas","TX","Austin","Austin",100,6949945,"Financial Services",3
"3365",23854,3365,8,"Proforma Progressive Marketing","proforma-progressive-marketing","California","CA","Bakersfield","Bakersfield CA",100,2594000,"Advertising & Marketing",2
"3366",7036,3366,110,"TempWorks Software","tempworks-software","Minnesota","MN","Eagan","Minneapolis",100,13406000,"Software",3
"3367",23948,3367,39,"ProCopy Office Solutions","procopy-office-solutions","Arizona","AZ","Tempe","Phoenix",100,12058864,"Business Products & Services",2
"3368",3095,3368,91,"Ergos Technology","ergos-technology","Texas","TX","Houston","Houston",100,13864938,"IT Services",5
"3369",19520,3369,67,"Red Monkey Foods","red-monkey-foods","Missouri","MO","Mount Vernon","",100,12531086,"Food & Beverage",4
